,index,Unnamed: 0,relations,classes,features
258,8,8,"['the gunman employer police investigated in this direction', 'Instagram instance of spokesperson', 'The police investigated in this direction facet of police', 'Saugususus named after Saugusus', 'critical condition facet of hospital', 'Los Angeles Times located in the administrative territorial entity Los Angeles', 'his father spouse his mother', 'Instagram operator spokesperson confirmed', 'Beihao ethnic group American-Japanese', 'blew himself instance of blew himself', 'Bohao instance of crime', 'He died of a heart attack point in time 2017', '2012 Summer Olympics point in time 2012', 'The shooter place of death hospital', 'hunting field of this occupation hunting', 'Beihao country of citizenship American', 'blew himself instance of put the gun to his head', 'shooter instance of rumors', 'Bohao contains administrative territorial entity Bohao', 'He died of a heart attack in 2017 point in time 2017', 'police applies to jurisdiction local', '2017 point in time 2017']",Wounding,"['critical condition facet of hospital', 'The shooter place of death hospital', 'shooter instance of rumors', 'blew himself instance of blew himself', 'blew himself instance of put the gun to his head', 'He died of a heart attack point in time 2017', 'police applies to jurisdiction local', 'He died of a heart attack in 2017 point in time 2017', 'hunting field of this occupation hunting', 'The police investigated in this direction facet of police', 'Instagram instance of spokesperson', '2012 Summer Olympics point in time 2012', 'Bohao instance of crime', '2017 point in time 2017', 'the gunman employer police investigated in this direction', 'Instagram operator spokesperson confirmed', 'Bohao contains administrative territorial entity Bohao', 'his father spouse his mother', 'Los Angeles Times located in the administrative territorial entity Los Angeles']"
259,9,9,"['University different from university', 'PolyU location Poly', 'police instructions facet of police', 'the school was very distressed by the incident facet of the school', 'police has part police officers', 'Tai Kok Tsui North District Council legislative body Tai Kok Tsui North District Council', 'Polytechnic University instance of Sc', 'Liao Jianjun father Liao Jianjun', 'reporters subclass of reporters', 'tear gas has part canisters', 'police part of police department', 'Liao Jian family Jian', 'Li Aoran position held candidate', 'police parent organization police department', 'PolyU number of participants 80', 'Liao Jianjun child Liao Jianjun', 'Li Aoran member of political party Hong Aoran', 'Lee Shau Kee Building part of Lee Shau Kee Building', 'Li Aoran instance of press conference', 'Liao Jianjun position held Student Union President', 'tear gas canisters used by police', 'official Facebook part of Facebook', 'John F. Kennedy position held President', 'University different from University', 'Facebook owned by Facebook', 'the incident location school', 'John F. Kennedy School of Government part of Harvard University', 'Save the students main subject campus', 'John F. Kennedy position held Secretary of Defense', 'North shares border with South', 'Li Aoran employer PolyU University', 'June 4th incident part of June 4th incident', 'Polytechnic University different from Polytechnic University', 'Liu Zhaobang father Liu Zhaobang']",protest and riot,"['tear gas canisters used by police', 'the school was very distressed by the incident facet of the school', 'police instructions facet of police', 'police part of police department', 'tear gas has part canisters', 'the incident location school', 'police has part police officers', 'PolyU number of participants 80', 'Tai Kok Tsui North District Council legislative body Tai Kok Tsui North District Council', 'PolyU location Poly', 'North shares border with South', 'official Facebook part of Facebook', 'police parent organization police department', 'Li Aoran member of political party Hong Aoran', 'Liao Jianjun position held Student Union President', 'Polytechnic University instance of Sc', 'Li Aoran instance of press conference', 'June 4th incident part of June 4th incident', 'Facebook owned by Facebook']"
260,10,10,"['Reuters subsidiary Reuters team', '17thth point in time 17th', 'PolyU has part PolyU', 'James Pomfretretret position held Reuters chief reporter', 'An hour later follows An hour later', 'police facet of police', 'police field of this occupation police', 'police item operated police with deadly weapons', 'ammunition use respond', 'live ammunition used by respond', 'police uses police', 'an hour later follows An hour later', ' has cause fear', 'No matter what happens different from No matter what happens', 'Reuters team parent organization Reuters', 'John F. Kennedy position held President', 'Facebook named after Facebook', 'PolyU owned by Reuters', 'John F. Kennedy School of Government part of Harvard University', 'police field of work police', 'John F. Kennedy position held Secretary of Defense', 'Liu Zhaobang position held Superintendent', 'deadly weapon used by police', 'the video instance of video']",protest and riot,"[' has cause fear', 'deadly weapon used by police', 'police item operated police with deadly weapons', 'police uses police', 'police field of this occupation police', 'live ammunition used by respond', 'police facet of police', 'police field of work police', 'the video instance of video', 'PolyU owned by Reuters', 'No matter what happens different from No matter what happens', 'ammunition use respond', 'PolyU has part PolyU', 'Reuters subsidiary Reuters team', 'Facebook named after Facebook', 'James Pomfretretret position held Reuters chief reporter', 'an hour later follows An hour later', 'An hour later follows An hour later', 'Reuters team parent organization Reuters']"
261,11,11,"['PolyU occupant police', 'first aid part of medical', 'reporters different from first responders', 'police operation facet of rioters on campus', 'University of Hong Kong chairperson Zhang Xiang', 'student journalists has part student reporters', 'rioters has effect police operation', 'photos of the arrested distributed by Internet', 'police has part riot police', 'West Kowloon instance of Region', 'Polytechnic University has part PolyU', 'conflict in the Polytechnic area location Polytechnic', 'Polytechnic University affiliation Baptist University', 'Shi Wei educated at University of Science and Technology', 'doctors different from nurses', 'journalist subclass of journalists', 'Catholic Diocese office held by head of the organization auxiliary bishop', 'PolyU has part riot police', 'PolyU occupant police had given them enough time to leave', 'Journalists Association field of work journalist certification', 'riot police part of police', 'nurses subclass of doctors', 'conflict in the Polytechnic area point in time last night', 'riot police subclass of police', 'Commander of the Commander of Hong Kong applies to jurisdiction Hong Kong', 'Yu Ruijing educated at Polytechnic', 'Chatham Road South connects with Chatham Road', 'student reporters practiced by student journalists', 'Journalists Association field of work student journalists', 'Hung Hom located in the administrative territorial entity Hong Kong', 'the police applies to jurisdiction that time', ""Journalists' Association located in the administrative territorial entity PolyU"", 'nurses different from doctors', 'PolyU instance of rioting', 'Fire Services Department headquarters part of Polytechnic University', 'the police country that time', 'photos of the arrested were circulated on the Internet point in time 0:40 a.m.']",protest and riot,"['PolyU instance of rioting', 'riot police subclass of police', 'police operation facet of rioters on campus', 'rioters has effect police operation', 'riot police part of police', 'police has part riot police', 'conflict in the Polytechnic area point in time last night', 'photos of the arrested distributed by Internet', 'PolyU has part riot police', 'photos of the arrested were circulated on the Internet point in time 0:40 a.m.', 'the police country that time', 'conflict in the Polytechnic area location Polytechnic', 'the police applies to jurisdiction that time', 'Chatham Road South connects with Chatham Road', 'PolyU occupant police', 'Fire Services Department headquarters part of Polytechnic University', 'first aid part of medical', 'student reporters practiced by student journalists', 'student journalists has part student reporters']"
262,12,12,"['illegality has effect violence', 'petrol bomb subclass of petrol bombs', 'violence subclass of violence', ""terrorism subclass of cold-blooded mob's imitation of"", 'Chatham Road south connects with Chatham Road', 'police set up a line facet of police', 'University of Technology part of University of Technology', 'riot has cause violence', 'live ammunition subclass of live ammunition', 'Kowloon Bay Road connects with Kowloon Bay Road', 'line part of police', 'University of Pennsylvania subsidiary Wharton School', 'next step facet of social media', 'A mob set fire near Exit Y location Exit Y', 'violence has cause illegality', 'University of Technology from different from University of Technology', 'University of California, Berkeley located in the administrative territorial entity Berkeley, California', 'fight back subclass of fight back', 'smoky subclass of smoke', 'shot at the car instance of fled', 'riot subclass of violence', 'deliberately crashed into the officer from behind instance of deliberately crashed', 'the no such thing instance of no such thing', 'next step participant police', 'Kowloon Bay Road terminus Tsim Sha Tsui East', 'tear gas different from fired several tear gas', 'police warn anyone not to to the police different from police', 'rioter driving a rioter driving a rioter driving a rioter driving a rioter driving a rioter driving a rioter driving a rioter driving a rioter driving a Chatham Road location Chatham Road', 'Next step participant police', 'tear gas has part several tear gas', 'University of Pennsylvania subsidiary Wharton School of Business', 'set fire participant mob', 'Tsim Sha Tsui East connects with Kowloon Bay Road']",protest and riot,"['riot has cause violence', 'riot subclass of violence', 'rioter driving a rioter driving a rioter driving a rioter driving a rioter driving a rioter driving a rioter driving a rioter driving a rioter driving a Chatham Road location Chatham Road', 'set fire participant mob', 'deliberately crashed into the officer from behind instance of deliberately crashed', 'violence subclass of violence', 'violence has cause illegality', 'fight back subclass of fight back', ""terrorism subclass of cold-blooded mob's imitation of"", 'illegality has effect violence', 'tear gas has part several tear gas', 'line part of police', 'Next step participant police', 'next step participant police', 'smoky subclass of smoke', 'A mob set fire near Exit Y location Exit Y', 'police warn anyone not to to the police different from police', 'tear gas different from fired several tear gas', 'police set up a line facet of police']"
263,13,13,"['police wanted five gangsters subclass of police', 'knife connects with ax', 'accompl uses cash', 'mask subclass of mask', 'goldware subclass of goldware', '17 elevation above sea level 17', '3 years old said to be the same as 17.7', 'Wan located in the administrative territorial entity Wan', 'pistol subclass of pistol-like object', 'blue jacket color blue', 'Crime Squad parent organization Police', 'robbery subclass of crime', 'The case country China', 'man has part 4 years old', 'above-mentioned case part of above-mentioned case', 'Crime Squad instance of follow-up', 'John F. Kennedy School of Government located in the administrative territorial entity Washington, D.C.', 'site part of case', 'top has part peaked cap', 'ax subclass of knife', 'robbers has effect robbing', 'John F. Kennedy position held President', 'cap part of cap', 'man has part 3 years old', 'man has part man', 'Ham Tin Street location Tsuen Tsuen', 'jewelry use jewelry', 'Tsuen Wan Police District located in the administrative territorial entity Tsuen Wan', 'Crime Squad field of work arrested', 'Blue jacket color blue', 'John F. Kennedy School of Government part of Harvard University', 'black pants subclass of pants', 'The case instance of case', '3 years old man age 17.7', 'peaked cap subclass of top']",theft or burglary,"['robbery subclass of crime', 'robbers has effect robbing', 'Crime Squad field of work arrested', 'Crime Squad instance of follow-up', 'accompl uses cash', 'Crime Squad parent organization Police', 'police wanted five gangsters subclass of police', 'The case instance of case', 'jewelry use jewelry', 'pistol subclass of pistol-like object', 'goldware subclass of goldware', 'mask subclass of mask', 'above-mentioned case part of above-mentioned case', 'peaked cap subclass of top', 'cap part of cap', 'The case country China', 'Tsuen Wan Police District located in the administrative territorial entity Tsuen Wan', 'top has part peaked cap', 'black pants subclass of pants']"
264,14,14,"['Beijing part of mainland', 'Zhang Ziqiang country of citizenship mainland', 'Hong Kong office held by head of government chief executive', 'Li Ka-shing place of birth Hong Kong', 'Shenzhen shares border with Hong Kong', ""People's Republic of China contains administrative territorial entity Hong Kong"", 'rule of law part of society', 'Jin Yinan military rank member of the military', 'civil servant country Hong Kong', 'frequent violent incidents location Hong Kong', 'Hong Kong head of government Carrie Lam', 'Hong Kong located in or next to body of water Pearl River Bay', 'rule of law subclass of rule of law', 'Hong Kong head of government Jin Yinan', 'Hong Kong independence participant Joshua Wong', 'China contains administrative territorial entity Jiangsu', 'Hong Kong different from the Hong Kong', 'criminal extradition subclass of extradition', 'bridge located in the administrative territorial entity Shenzhen', 'chief executive applies to jurisdiction Hong Kong', 'mainland capital Beijing', 'rule of law applies to jurisdiction Hong Kong', 'Pearl River Bay located in the administrative territorial entity Hong Kong']",International Politics and Diplomacy,"['civil servant country Hong Kong', 'chief executive applies to jurisdiction Hong Kong', 'Hong Kong office held by head of government chief executive', ""People's Republic of China contains administrative territorial entity Hong Kong"", 'bridge located in the administrative territorial entity Shenzhen', 'Hong Kong head of government Jin Yinan', 'criminal extradition subclass of extradition', 'rule of law applies to jurisdiction Hong Kong', 'Hong Kong independence participant Joshua Wong', 'rule of law part of society', 'Hong Kong head of government Carrie Lam', 'China contains administrative territorial entity Jiangsu', 'Hong Kong different from the Hong Kong', 'frequent violent incidents location Hong Kong', 'mainland capital Beijing', 'Pearl River Bay located in the administrative territorial entity Hong Kong', 'Hong Kong located in or next to body of water Pearl River Bay', 'rule of law subclass of rule of law', 'Shenzhen shares border with Hong Kong']"
265,15,15,"['beaten, kicked and beaten facet of protesters', 'Riot police field of work Riot', 'University of Technology part of University of Technology', 'blocked blocked facet of protesters', 'Hong Kong contains administrative territorial entity 18 districts', 'The man in white different from man in white', 'injured has effect beaten', 'clashed part of protesters', 'Shui Wai uses knife', 'The Lost Boys author John F. Kennedy', 'The Lost Boys author William Shakespeare', 'treated practiced by First responders', 'University of Technology located in the administrative territorial entity Tin', 'treated him practiced by First responders', 'battlefield subclass of battlefield', 'riot police field of work riot', 'University of Technology different from University of Technology', 'Regather location Regather', 'clashed has cause protesters suspected of political views', 'riot police subclass of police', 'light rail has part light rail tracks', 'The man in white significant event stolen', 'raising black and orange flags participant Riot police', 'umbrella has part bricks', 'injured subclass of beaten', 'armed with a knife subclass of knife', 'Netizen facet of Netizen', '18 districts located in the administrative territorial entity Hong Kong', 'blocked the road located in the administrative territorial entity Tin', '18 districts of Hong Kong located in the administrative territorial entity Hong Kong']",protest and riot,"['clashed part of protesters', 'beaten, kicked and beaten facet of protesters', 'Riot police field of work Riot', 'riot police field of work riot', 'riot police subclass of police', 'clashed has cause protesters suspected of political views', 'raising black and orange flags participant Riot police', 'blocked blocked facet of protesters', 'injured subclass of beaten', 'battlefield subclass of battlefield', 'injured has effect beaten', 'treated practiced by First responders', 'armed with a knife subclass of knife', 'The man in white significant event stolen', 'blocked the road located in the administrative territorial entity Tin', 'The Lost Boys author William Shakespeare', 'Netizen facet of Netizen', 'treated him practiced by First responders', 'umbrella has part bricks']"
266,16,16,"['Jianyu instance of carrier', 'Harvard University subsidiary John F. Kennedy School of Government', 'Liaoning contains administrative territorial entity Huludao', 'Liaoning carrier operator Chinese Navy', 'Jianyu based on JJ-9', 'trials facet of aircraft carrier', 'domestically produced subclass of aircraft carrier', 'China located on terrain feature land', 'carrier-based aircraft carrier operator Navy', 'aircraft carrier has part decks', 'reports country China', 'Shanghai located in the administrative territorial entity China', 'JJ-9 different from JJ-9', 'pilots item operated aircraft', 'Bohai Sea part of Bohai Sea', '10 to 12 number of participants 12', 'John F. Kennedy School of Business part of Harvard University', 'official media country Chinese', 'aircraft operator pilots', '10 followed by 12', 'CCTV operating area China', 'electromagnetic catapult country of origin domestic', 'China owner of CCTV', 'JJ-10 training aircraft subclass of training aircraft', 'JJ-10 training aircraft based on JJ-10 training aircraft', 'decks part of aircraft carrier']",Technology related,"['CCTV operating area China', 'trials facet of aircraft carrier', 'aircraft carrier has part decks', 'pilots item operated aircraft', 'China owner of CCTV', 'China located on terrain feature land', 'aircraft operator pilots', 'electromagnetic catapult country of origin domestic', 'domestically produced subclass of aircraft carrier', 'Harvard University subsidiary John F. Kennedy School of Government', 'decks part of aircraft carrier', 'John F. Kennedy School of Business part of Harvard University', 'Jianyu instance of carrier', 'reports country China', 'Bohai Sea part of Bohai Sea', 'JJ-10 training aircraft subclass of training aircraft', 'carrier-based aircraft carrier operator Navy', 'Liaoning carrier operator Chinese Navy', 'Liaoning contains administrative territorial entity Huludao']"
267,17,17,"['Hung Hom Station significant event fire broke out on the footbridge', 'fierce clashes participant police', 'Hung Hom Railway Station different from Hung Hom Railway Station', 'set on fire location Sha Tsui', 'library part of school', 'police officers subclass of police officers', 'Prison Time: The Light of Friendship publication date 1987', 'warning subclass of warning', 'Luo Guohui educated at Polytechnic University', 'school different from campus', '2008 Beijing Olympics point in time 2008', 'Farewell to Campus author Hacken Lee', 'demonstrators opposite of thugs', 'thugs opposite of demonstrators', 'warning facet of rioters', 'fierce clashes participant students', 'police officers has part police officers', 'PolyU instance of campus', 'Lee Shau Kee Building part of Polytechnic University', 'Chatham Road South connects with Cheong Wan Road', 'campus has part PolyU', 'Prison Time: The Light of Friendship instance of movie', 'defense line subclass of platform', 'school library subclass of library facilities', 'Hung Hom Station instance of footbridge', 'House of Flying Daggers has part Eason Chan', 'Cheong Wan Road connects with Chatham Road South', 'Hung Hom Station operator Firefighters', 'water cannon subclass of armored vehicle', 'Hung Hom Railway Station located in the administrative territorial entity East Tsim', 'Prison Time publication date 1987']",protest and riot,"['fierce clashes participant police', 'warning facet of rioters', 'fierce clashes participant students', 'demonstrators opposite of thugs', 'Hung Hom Station significant event fire broke out on the footbridge', 'thugs opposite of demonstrators', 'set on fire location Sha Tsui', 'water cannon subclass of armored vehicle', 'warning subclass of warning', 'police officers subclass of police officers', 'PolyU instance of campus', 'police officers has part police officers', 'Hung Hom Station operator Firefighters', 'House of Flying Daggers has part Eason Chan', 'library part of school', '2008 Beijing Olympics point in time 2008', 'Prison Time: The Light of Friendship instance of movie', 'defense line subclass of platform', 'campus has part PolyU']"
268,18,18,"['Yersinia pestis has effect bubonic plague', 'China contains administrative territorial entity Inner Mongolia', 'septicaemic plague has cause Yersinia pestis', 'fever subclass of symptoms', 'Guangdong shares border with Guangxi', 'antibiotic medical condition treated infectious disease', 'droplet transmission subclass of transmission route', 'Sichuan contains administrative territorial entity Ganzi', 'skinning part of slaughtering', 'hemoptysis subclass of dyspnea', 'Xinjiang country China', 'Hainan Island located in the administrative territorial entity Guangdong', 'repellent use travel', 'rat subclass of rodent', 'rat fleas subclass of vector', 'vector transmission subclass of transmission route', ""People's Republic of China part of history"", 'septicemic plague subclass of Plague', 'Infectious Disease Prevention and Control Law country China', 'China contains administrative territorial entity Tibet', 'Zoonosis subclass of infectious disease', 'contact transmission subclass of transmission route', 'tightness subclass of dyspnea', 'Class A infectious diseases has part Plague', 'epidemic hemorrhagic fever has cause plague', 'Beihai located in the administrative territorial entity Guangxi', 'Gansu country China', 'Guangdong Province inception 2019', 'cough subclass of symptom', 'plague has cause vector', 'washing hands frequently facet of personal hygiene', 'pneumonic plague subclass of Plague', 'dyspnea subclass of tightness']",natural disaster,"['plague has cause vector', 'fever subclass of symptoms', 'septicemic plague subclass of Plague', 'Zoonosis subclass of infectious disease', 'epidemic hemorrhagic fever has cause plague', 'Yersinia pestis has effect bubonic plague', 'Class A infectious diseases has part Plague', 'droplet transmission subclass of transmission route', 'cough subclass of symptom', 'vector transmission subclass of transmission route', 'pneumonic plague subclass of Plague', 'septicaemic plague has cause Yersinia pestis', 'antibiotic medical condition treated infectious disease', 'skinning part of slaughtering', 'dyspnea subclass of tightness', 'hemoptysis subclass of dyspnea', 'rat subclass of rodent', 'rat fleas subclass of vector', 'repellent use travel']"
269,19,19,"['bullet subclass of rounds of bullets', 'Police Media Lia use riot control', 'petrol bomb used by Demonstrators', 'AR15 based on MP5', 'Media Lia part of Police', 'arrow used by bow', 'Legislative Council demonstration area location Legislative Council', 'Police Media Lia field of work riot control', 'barrel length part of barrel length', 'Polytechnic University located on street Chatham Road South', 'petrol bomb has part petrol', 'subdue demonstrators has cause deadly attacks', 'brigade part of unit', 'riot police field of work riot', 'AR15 inception July 1, 2015', 'specific unit has part brigade', 'special police location airport', 'deadly attacks has effect subdue demonstrators', 'Legislative Council significant event Legislative Council was vandalized', 'AR15 instance of firearm', 'AR15 manufacturer Quite Manufacturing Company', 'lethal weapon has part live', 'United States country United Kingdom', 'MP5 instance of firearm', 'demonstrations location demonstration area', 'AR15s use riots', 'Cheong Wan Road occupant police', 'Mobile unit subclass of Mobile unit', 'assault vehicle used by riot police officer', 'anti-amendment turmoil has cause anti-amendment', 'anti-amendment turmoil main subject anti-amendment', 'Quite Manufacturing Company country United States', 'caliber subclass of mm', 'AR15 part of AR15', 'treatment location hospital', 'anti-extradition bill unrest has cause anti-extradition bill unrest', 'ammunition part of firearm', 'caliber said to be the same as mm']",protest and riot,"['riot police field of work riot', 'subdue demonstrators has cause deadly attacks', 'AR15s use riots', 'assault vehicle used by riot police officer', 'anti-extradition bill unrest has cause anti-extradition bill unrest', 'petrol bomb used by Demonstrators', 'deadly attacks has effect subdue demonstrators', 'demonstrations location demonstration area', 'anti-amendment turmoil has cause anti-amendment', 'anti-amendment turmoil main subject anti-amendment', 'Police Media Lia use riot control', 'Police Media Lia field of work riot control', 'Legislative Council significant event Legislative Council was vandalized', 'treatment location hospital', 'lethal weapon has part live', 'petrol bomb has part petrol', 'bullet subclass of rounds of bullets', 'special police location airport', 'Quite Manufacturing Company country United States']"
270,20,20,"['Tung Kok Lin Court located on terrain feature Hong Kong Island', 'Chinatown located in the administrative territorial entity Manhattan', 'Mount Morrison Park named after Sunflower Cocktail Parrot', 'Happy Valley instance of dog community', '1850s point in time 1850', 'art part of community', 'National Historic Landmark maintained by National Trust for Historic Preservation', 'art planner subclass of art planner', 'sunflower bird-headed parrot taxonomic type sunflower bird-headed parrot', 'New York City contains administrative territorial entity Brooklyn', 'Japanese invasion start time 1941', 'Crescent Garden located in the administrative territorial entity Happy Valley', 'art planner field of this occupation art', 'Kong people located in the administrative territorial entity Kong', 'dog park subclass of dog space', 'Happy Valley instance of Buddhist monastery', 'Tuen Mun Do ranking 43', 'parrot subclass of pet', '2015 point in time 2015', 'New York City contains administrative territorial entity Manhattan', 'mental health facet of elderly', 'democracy instance of universal values', 'John F. Kennedy School of Government part of Harvard University', 'Wanchai District Happy Valley Constituency inception 2019', 'run for office in 2015 point in time 2015', 'Hong Kong ethnic group Kong people', 'art worker field of this occupation art', 'Happy Valley located in the administrative territorial entity Happy Valley', 'Tuen Mun Do has part Tuen Mun Do', 'Happy Valley architect Karen Kwok', 'Umbrella Movement has effect 2015 district election', 'freedom instance of universal values', 'freedom opposite of democracy', ""Hong Kong's Struggle for Survival author Leo F Goodstadt"", 'art practiced by art worker', 'A City Mismanaged Hong Kong language of work or name English', 'dog park use walk', 'mental health subclass of community services']",other,"['freedom opposite of democracy', 'freedom instance of universal values', '2015 point in time 2015', 'mental health subclass of community services', 'run for office in 2015 point in time 2015', 'democracy instance of universal values', 'mental health facet of elderly', 'art part of community', 'Umbrella Movement has effect 2015 district election', 'National Historic Landmark maintained by National Trust for Historic Preservation', 'Kong people located in the administrative territorial entity Kong', 'dog park subclass of dog space', 'Happy Valley instance of dog community', 'art practiced by art worker', 'Tuen Mun Do has part Tuen Mun Do', 'art planner subclass of art planner', 'Hong Kong ethnic group Kong people', '1850s point in time 1850', 'New York City contains administrative territorial entity Brooklyn']"
271,21,21,"['Tung Kok Lin Court located on terrain feature Hong Kong Island', 'Chinatown located in the administrative territorial entity Manhattan', 'Mount Morrison Park named after Sunflower Cocktail Parrot', 'Happy Valley instance of dog community', '1850s point in time 1850', 'art part of community', 'National Historic Landmark maintained by National Trust for Historic Preservation', 'art planner subclass of art planner', 'sunflower bird-headed parrot taxonomic type sunflower bird-headed parrot', 'New York City contains administrative territorial entity Brooklyn', 'Japanese invasion start time 1941', 'Crescent Garden located in the administrative territorial entity Happy Valley', 'art planner field of this occupation art', 'Kong people located in the administrative territorial entity Kong', 'dog park subclass of dog space', 'Happy Valley instance of Buddhist monastery', 'Tuen Mun Do ranking 43', 'parrot subclass of pet', '2015 point in time 2015', 'New York City contains administrative territorial entity Manhattan', 'mental health facet of elderly', 'democracy instance of universal values', 'John F. Kennedy School of Government part of Harvard University', 'Wanchai District Happy Valley Constituency inception 2019', 'run for office in 2015 point in time 2015', 'Hong Kong ethnic group Kong people', 'art worker field of this occupation art', 'Happy Valley located in the administrative territorial entity Happy Valley', 'Tuen Mun Do has part Tuen Mun Do', 'Happy Valley architect Karen Kwok', 'Umbrella Movement has effect 2015 district election', 'freedom instance of universal values', 'freedom opposite of democracy', ""Hong Kong's Struggle for Survival author Leo F Goodstadt"", 'art practiced by art worker', 'A City Mismanaged Hong Kong language of work or name English', 'dog park use walk', 'mental health subclass of community services']",other,"['freedom opposite of democracy', 'freedom instance of universal values', '2015 point in time 2015', 'mental health subclass of community services', 'run for office in 2015 point in time 2015', 'democracy instance of universal values', 'mental health facet of elderly', 'art part of community', 'Umbrella Movement has effect 2015 district election', 'National Historic Landmark maintained by National Trust for Historic Preservation', 'Kong people located in the administrative territorial entity Kong', 'dog park subclass of dog space', 'Happy Valley instance of dog community', 'art practiced by art worker', 'Tuen Mun Do has part Tuen Mun Do', 'art planner subclass of art planner', 'Hong Kong ethnic group Kong people', '1850s point in time 1850', 'New York City contains administrative territorial entity Brooklyn']"
272,22,22,"['rare earth industry country domestic', 'separation in China in 2019 point in time 2019', 'interlocking facet of globalization', 'rare earth reserve country China', 'earth industry chain country China', 'Geng Shuang child Geng Shuang', 'Geng Shuang spouse Geng Shuang', 'dominate different from dominate or monopolize', 'monopolize facet of dominate', 'world economy subclass of economy', 'rare earth resources subclass of products', 'China instance of countries around the world', 'smelting subclass of smelting', 'Belgium capital Brussels', 'Geng Shuang father Geng Shuang', 'sharing subclass of collaboration', 'interlocking has cause globalization', 'market subclass of field', 'world economy instance of economy', 'Geng Shuang employer Foreign Ministry', 'country is a list of rare', 'World Trade Center located in the administrative territorial entity New York City', 'concerns country China', 'quota point in time 2018', '2012 Summer Olympics point in time 2012', 'upcoming meeting main subject rare earth issues', 'Foreign Ministry chairperson Geng Shuang', ""world's largest rare earth producer product or material produced rare earth"", '2010 World Championships in Athletics point in time 2010', 'meeting on rare earth issues instance of press conference', 'Gengeng instance of artificially cut someone out', 'China instance of rare earth reserve', '2018 point in time 2018', 'dominate facet of dominate', 'largest producer is a list of rare', 'external concerns country China']",Economics and Trade,"['world economy instance of economy', 'world economy subclass of economy', 'market subclass of field', 'World Trade Center located in the administrative territorial entity New York City', 'Geng Shuang employer Foreign Ministry', 'earth industry chain country China', 'interlocking has cause globalization', 'interlocking facet of globalization', 'sharing subclass of collaboration', 'monopolize facet of dominate', 'China instance of countries around the world', 'external concerns country China', 'rare earth resources subclass of products', 'dominate facet of dominate', 'quota point in time 2018', 'concerns country China', 'smelting subclass of smelting', 'largest producer is a list of rare', 'Gengeng instance of artificially cut someone out']"
273,23,23,"['septicemic subclass of plague', 'Marmot parent taxon marmot', 'Ganzi, Sichuan located in the administrative territorial entity Sichuan', 'Yuerhong Village point in time July 2014', 'Marmot parent taxon Yersinia pestis', 'Marmot has effect Yersinia pestis', 'smuggling subclass of illegal hunting', 'skinning part of slaughtering', ""Daur's yellow squirrel endemic to banner counties"", 'Yersinia pestis has effect Marmot', 'Mongolian marmot instance of foci of plague', 'Cunge Township located in the administrative territorial entity Litang County', 'Litang County contains administrative territorial entity Cunge Township', 'marmot parent taxon marmot', 'Yersinia pestis has effect Flea', 'Gansu contains administrative territorial entity Jiuquan', 'Beijing significant event septicemic plague', 'skin use eat', 'Mongolia shares border with China', 'plague epidemic in the mainland instance of plague', 'septicemic plague subclass of pneumonia', 'Litang County located in the administrative territorial entity Garze Prefecture', 'adenocarcinin has effect adenocarcin', 'China shares border with Mongolia', 'China diplomatic relation Mongolia', 'Garze Prefecture located in the administrative territorial entity Sichuan', ""Bush's vole endemic to banner counties"", 'septicemic plague subclass of Plague death', 'Shibaocheng Township located in the administrative territorial entity Subei County']",natural disaster,"['septicemic plague subclass of Plague death', 'septicemic subclass of plague', 'plague epidemic in the mainland instance of plague', 'Yersinia pestis has effect Flea', 'septicemic plague subclass of pneumonia', 'adenocarcinin has effect adenocarcin', 'Beijing significant event septicemic plague', 'skinning part of slaughtering', ""Daur's yellow squirrel endemic to banner counties"", 'Yersinia pestis has effect Marmot', ""Bush's vole endemic to banner counties"", 'skin use eat', 'Mongolian marmot instance of foci of plague', 'smuggling subclass of illegal hunting', 'Shibaocheng Township located in the administrative territorial entity Subei County', 'Marmot has effect Yersinia pestis', 'Cunge Township located in the administrative territorial entity Litang County', 'Litang County located in the administrative territorial entity Garze Prefecture', 'Garze Prefecture located in the administrative territorial entity Sichuan']"
